Episode 480, Reward: 260.3, Epsilon: 0.090
Episode 481, Reward: 182.1, Epsilon: 0.089
Episode 482, Reward: 55.4, Epsilon: 0.089
Episode 483, Reward: 121.2, Epsilon: 0.088
Episode 484, Reward: -1.7, Epsilon: 0.088
Episode 485, Reward: 296.7, Epsilon: 0.088
Episode 486, Reward: 245.9, Epsilon: 0.087
Episode 487, Reward: 229.0, Epsilon: 0.087
Episode 488, Reward: 224.2, Epsilon: 0.086
Episode 489, Reward: 269.4, Epsilon: 0.086
Episode 490, Reward: 273.6, Epsilon: 0.085
Episode 491, Reward: 229.0, Epsilon: 0.085
Episode 492, Reward: 126.0, Epsilon: 0.084
Episode 493, Reward: 255.1, Epsilon: 0.084
Episode 494, Reward: 186.5, Epsilon: 0.084
Episode 495, Reward: 251.4, Epsilon: 0.083
Episode 496, Reward: 149.9, Epsilon: 0.083
Episode 497, Reward: 70.0, Epsilon: 0.082
Episode 498, Reward: 104.4, Epsilon: 0.082
Episode 499, Reward: 270.3, Epsilon: 0.082
Evaluation: 189.1
New best model saved!
Episode 500, Reward: 268.6, Epsilon: 0.081
Episode 501, Reward: 138.1, Epsilon: 0.081
Episode 502, Reward: 258.2, Epsilon: 0.080
Episode 503, Reward: 303.0, Epsilon: 0.080
Episode 504, Reward: 54.4, Epsilon: 0.080
Episode 505, Reward: 152.4, Epsilon: 0.079
Episode 506, Reward: 197.6, Epsilon: 0.079
Episode 507, Reward: 240.2, Epsilon: 0.078
Episode 508, Reward: 68.9, Epsilon: 0.078
Episode 509, Reward: 243.8, Epsilon: 0.078
Episode 510, Reward: 97.4, Epsilon: 0.077
Episode 511, Reward: 246.8, Epsilon: 0.077
Episode 512, Reward: 83.2, Epsilon: 0.076
Episode 513, Reward: 83.2, Epsilon: 0.076
Episode 514, Reward: 146.7, Epsilon: 0.076
Episode 515, Reward: 206.6, Epsilon: 0.075
Episode 516, Reward: 251.7, Epsilon: 0.075
Episode 517, Reward: 188.4, Epsilon: 0.075
Episode 518, Reward: 199.4, Epsilon: 0.074
Episode 519, Reward: 271.9, Epsilon: 0.074
