Episode 195, Reward: -178.4, Epsilon: 0.374
Episode 196, Reward: -73.8, Epsilon: 0.373
Episode 197, Reward: -38.1, Epsilon: 0.371
Episode 198, Reward: 66.8, Epsilon: 0.369
Episode 199, Reward: 118.0, Epsilon: 0.367
Evaluation: -106.1
New best model saved!
Episode 200, Reward: -44.8, Epsilon: 0.365
Episode 201, Reward: 41.3, Epsilon: 0.363
Episode 202, Reward: -43.7, Epsilon: 0.361
Episode 203, Reward: -191.0, Epsilon: 0.360
Episode 204, Reward: -32.4, Epsilon: 0.358
Episode 205, Reward: 10.4, Epsilon: 0.356
Episode 206, Reward: 24.2, Epsilon: 0.354
Episode 207, Reward: 67.0, Epsilon: 0.353
Episode 208, Reward: 123.7, Epsilon: 0.351
Episode 209, Reward: -38.0, Epsilon: 0.349
Episode 210, Reward: -99.3, Epsilon: 0.347
Episode 211, Reward: 63.4, Epsilon: 0.346
Episode 212, Reward: -24.4, Epsilon: 0.344
Episode 213, Reward: -69.9, Epsilon: 0.342
Episode 214, Reward: -41.5, Epsilon: 0.340
Episode 215, Reward: 47.9, Epsilon: 0.339
Episode 216, Reward: -77.9, Epsilon: 0.337
Episode 217, Reward: -189.2, Epsilon: 0.335
Episode 218, Reward: 86.6, Epsilon: 0.334
Episode 219, Reward: 68.0, Epsilon: 0.332
Episode 220, Reward: -44.3, Epsilon: 0.330
Episode 221, Reward: 36.5, Epsilon: 0.329
Episode 222, Reward: -26.1, Epsilon: 0.327
Episode 223, Reward: 56.0, Epsilon: 0.325
Episode 224, Reward: -37.4, Epsilon: 0.324
Episode 225, Reward: -14.1, Epsilon: 0.322
Episode 226, Reward: -54.1, Epsilon: 0.321
Episode 227, Reward: -51.2, Epsilon: 0.319
Episode 228, Reward: -24.5, Epsilon: 0.317
Episode 229, Reward: -111.7, Epsilon: 0.316
Episode 230, Reward: -27.1, Epsilon: 0.314
Episode 231, Reward: 16.1, Epsilon: 0.313
Episode 232, Reward: -41.2, Epsilon: 0.311
Episode 233, Reward: 98.4, Epsilon: 0.309
Episode 234, Reward: -84.0, Epsilon: 0.308
Episode 235, Reward: -62.3, Epsilon: 0.306
Episode 236, Reward: -62.6, Epsilon: 0.305
Episode 237, Reward: -22.7, Epsilon: 0.303
Episode 238, Reward: 51.3, Epsilon: 0.302
Episode 239, Reward: -30.0, Epsilon: 0.300
Episode 240, Reward: -6.5, Epsilon: 0.299
Episode 241, Reward: 151.1, Epsilon: 0.297
Episode 242, Reward: 13.4, Epsilon: 0.296
Episode 243, Reward: -33.2, Epsilon: 0.294
Episode 244, Reward: -8.3, Epsilon: 0.293
Episode 245, Reward: 24.5, Epsilon: 0.291
Episode 246, Reward: 221.5, Epsilon: 0.290
Episode 247, Reward: -57.4, Epsilon: 0.288
Episode 248, Reward: -70.5, Epsilon: 0.287
Episode 249, Reward: -24.1, Epsilon: 0.286
Episode 250, Reward: -33.9, Epsilon: 0.284
Episode 251, Reward: -34.2, Epsilon: 0.283
Episode 252, Reward: -53.0, Epsilon: 0.281
Episode 253, Reward: -121.9, Epsilon: 0.280
Episode 254, Reward: 78.0, Epsilon: 0.279
Episode 255, Reward: 64.9, Epsilon: 0.277
Episode 256, Reward: -94.4, Epsilon: 0.276
Episode 257, Reward: 4.2, Epsilon: 0.274
Episode 258, Reward: 59.1, Epsilon: 0.273
Episode 259, Reward: 116.5, Epsilon: 0.272
Episode 260, Reward: 88.9, Epsilon: 0.270
Episode 261, Reward: 41.7, Epsilon: 0.269
Episode 262, Reward: 174.0, Epsilon: 0.268
Episode 263, Reward: -28.1, Epsilon: 0.266
Episode 264, Reward: 69.7, Epsilon: 0.265
Episode 265, Reward: -38.1, Epsilon: 0.264
Episode 266, Reward: -82.2, Epsilon: 0.262
Episode 267, Reward: -144.2, Epsilon: 0.261
Episode 268, Reward: -63.7, Epsilon: 0.260
Episode 269, Reward: 83.6, Epsilon: 0.258
Episode 270, Reward: -90.7, Epsilon: 0.257
Episode 271, Reward: 97.1, Epsilon: 0.256
Episode 272, Reward: 103.9, Epsilon: 0.255
Episode 273, Reward: -102.2, Epsilon: 0.253
